Timestamp,Date,Measure,EURC,USDe,USDD,CNHT,USDP,TRYB,sEUR,AUDF,BEAN,EURQ,FRAX,USDS,GHO,GYEN,USDT,USDG,AUDD,PYUSD,USDM,GUSD,deUSD,VCHF,sUSD,1GBP,BRZ,M,USDtb,aUSDT,USDQ,FXD,IDRT,EURS,FDUSD,AUSD,XSGD,ZUSD,USDz,BSC-USD,XIDR,RLUSD,USDV,AGEUR,MXNB,BSC-BUSD,AEUR,USDGLO,USDC,EUROe,USD0,LUSD,MXNT,BUSD,EURCV,omUSD,EURT,EURØP,USDO,USD1,pUSD,USDon,BRLA,avUSD,BBRL,lvlUSD
1679443200000,2023-03-22,Bridged Token Market Cap (Dollar),29645820.01,,728074213.17,2985194.82,761496075.94,2869263.87,5632877.51,,32558599.67,,1049070680.90,5462952996.31,,17483600.52,79862748561.40,,,,,346905123.73,,,36427480.71,4496243.57,,,,,,,2317795.86,48468374.72,,,36528035.51,1825724.47,,,4200416.94,,,18925843.58,,,,102755.67,37364740999.30,1023421.39,,266931340.74,1065179.63,8104907818.85,,,43657532.34,,,,,,,,,
1679529600000,2023-03-23,Bridged Token Market Cap (Dollar),30063443.87,,723298592.14,3001968.75,761907516.10,2872320.73,5681861.17,,32636620.21,,1050617392.35,5462345294.82,,17615675.70,81131008347.22,,,,,346401908.54,,,36427469.19,4524367.51,,,,,,,2314880.39,48306565.64,,,36783389.02,1812963.88,,,4210242.67,,,21131000.58,,,,102755.67,37207241810.40,1029585.45,,266636581.39,1075739.94,8100936662.61,,,43949511.28,,,,,,,,,
1679616000000,2023-03-24,Bridged Token Market Cap (Dollar),29902607.00,,723197772.41,3006862.36,775320461.33,3908946.49,5847738.97,,32560936.78,,1047756960.47,5406491056.44,,17678909.00,81167060274.90,,,,,344081552.47,,,35938457.29,4523512.13,,,,,,,2347859.71,48805662.32,,,44278412.76,1820961.28,,,4258211.26,,,19373123.05,,,,102755.67,36624554246.13,1028245.96,,267535035.68,1065527.13,8053305363.76,,,43842238.70,,,,,,,,,
1679702400000,2023-03-25,Bridged Token Market Cap (Dollar),29777809.16,,720045167.34,2992429.61,773440424.60,3887166.79,5794860.04,,32505887.34,,1046372595.16,5388605334.98,,17746259.51,81055204177.80,,,,,343949407.68,,,35967293.78,4504139.87,,,,,,,2319874.67,48220829.71,,,44236431.10,1815033.59,,,4210162.97,,,19901950.71,,,,102755.67,36519440168.48,1021550.96,,266601358.77,1099902.17,8072660741.21,,,43545148.79,,,,,,,,,
1679788800000,2023-03-26,Bridged Token Market Cap (Dollar),29661568.24,,724424599.72,2994779.71,777859441.08,3957822.95,5789781.41,,32677708.41,,1050511736.53,5415773502.06,,17717408.76,81516208283.75,,,,,344991933.36,,,36086810.69,4506223.71,,,,,,,2327071.87,48623027.17,,,44274334.60,1830860.34,,,4230074.50,,,21226502.88,,,,102755.67,36718232298.61,1019656.42,,269734567.70,1083154.68,8078353330.47,,,43810808.42,,,,,,,,,
1679875200000,2023-03-27,Bridged Token Market Cap (Dollar),29721018.14,,720459730.09,2985026.01,758435199.60,4983483.96,5745985.59,,32416807.98,,1042847329.04,5300993728.61,,17575799.22,81208784149.46,,,,,341900399.73,,32744.97,35534096.73,4489457.34,,,,,,,2316323.22,48125542.73,,,44018083.91,1812207.13,,,4198673.36,,,20849515.42,,,,102755.67,36052660162.36,1016953.10,,268027392.07,1092804.89,7823263683.73,,,43454415.93,,,,,,,,,
1679961600000,2023-03-28,Bridged Token Market Cap (Dollar),29733747.30,,719540463.46,2980782.09,758714339.53,6466139.38,5762437.96,,32471732.42,,1045783140.37,5254493866.68,,17565513.22,81353509840.93,,,,,342411109.98,,32744.97,35568063.56,4523867.74,,,,,,,2318249.65,48138696.04,,,44058795.73,1825237.76,,,4206734.08,,,21100151.67,,,,102755.67,35974256215.32,1020123.30,,271458704.89,1102397.59,7725154094.72,,,43723595.06,,,,,,,,,
1680048000000,2023-03-29,Bridged Token Market Cap (Dollar),29836613.17,,717214476.36,2981810.36,758294049.26,10075252.76,5764920.66,,32502136.64,,1044544799.38,5263525248.35,,17633696.47,81278270967.34,,,,,342249961.57,,32586.31,35145869.33,4511761.82,,,,,,,2338547.72,48409365.76,,,54862825.59,1834180.18,,,4232310.71,,,21544661.38,,,,102755.67,35922057496.61,1020028.40,,271963676.91,1088264.51,7672587407.51,,,43778680.98,,,,,,,,,
1680134400000,2023-03-30,Bridged Token Market Cap (Dollar),29832279.03,,718154321.97,2973743.23,757096529.03,13686133.65,5521959.69,,32479813.78,,1046159414.62,5255540326.23,,17506879.47,81251344715.92,,,,,342115707.71,,32455.50,34262159.91,4508024.90,,,,,,,2336761.59,48033810.13,,,54764846.38,1838965.32,,,4231651.22,,,21719337.26,,,,102755.67,35441168250.51,1031675.58,,270782058.39,1097090.10,7615417458.66,,,43908859.15,,,,,,,,,
1680220800000,2023-03-31,Bridged Token Market Cap (Dollar),30030203.53,,719376481.56,2983625.68,756986173.48,15633403.10,5653382.71,,32405360.52,,1047109320.22,5257913548.26,,17497076.90,81251890160.79,,,,,343521837.46,,32907.52,34391652.09,4512862.28,,,,,,,2339899.08,48211799.20,,,54829317.93,1836093.24,,,4244971.09,,,21765655.22,,,,102755.67,35139925570.06,1037311.58,,271066082.13,1114768.46,7563794635.24,,,44031079.99,,,,,,,,,
