eip,title,status,created,finalized,path,history_note
6909,Minimal Multi-Token Interface,Final,2023-04-19,,/Users/mac/PhD/sim/ERCs/ERCS/erc-6909.md,only one commit available
6982,Efficient Default Lockable Tokens,Final,2023-05-02,,/Users/mac/PhD/sim/ERCs/ERCS/erc-6982.md,only one commit available
7007,Verifiable AI-Generated Content Token,Final,2023-05-10,,/Users/mac/PhD/sim/ERCs/ERCS/erc-7007.md,only one commit available
7053,Interoperable Digital Media Indexing,Final,2023-05-22,2023-10-25,/Users/mac/PhD/sim/ERCs/ERCS/erc-7053.md,only one commit available
7066,Lockable Extension for ERC-721,Final,2023-05-25,,/Users/mac/PhD/sim/ERCs/ERCS/erc-7066.md,only one commit available
7092,Financial Bonds,Final,2023-05-28,,/Users/mac/PhD/sim/ERCs/ERCS/erc-7092.md,only one commit available
7160,ERC-721 Multi-Metadata Extension,Final,2023-06-09,,/Users/mac/PhD/sim/ERCs/ERCS/erc-7160.md,only one commit available
7201,Namespaced Storage Layout,Final,2023-06-20,,/Users/mac/PhD/sim/ERCs/ERCS/erc-7201.md,only one commit available
7208,On-Chain Data Containers,Final,2023-06-09,2025-01-24,/Users/mac/PhD/sim/ERCs/ERCS/erc-7208.md,
721,Non-Fungible Token Standard,Final,2018-01-24,2023-10-25,/Users/mac/PhD/sim/ERCs/ERCS/erc-721.md,only one commit available
7231,Identity-aggregated NFT,Final,2023-06-25,,/Users/mac/PhD/sim/ERCs/ERCS/erc-7231.md,only one commit available
7291,Purpose bound money,Final,2023-06-24,2025-10-08,/Users/mac/PhD/sim/ERCs/ERCS/erc-7291.md,
7401,Parent-Governed Non-Fungible Tokens Nesting,Final,2023-07-26,2023-10-25,/Users/mac/PhD/sim/ERCs/ERCS/erc-7401.md,only one commit available
7409,Public Non-Fungible Tokens Emote Repository,Final,2023-07-26,,/Users/mac/PhD/sim/ERCs/ERCS/erc-7409.md,only one commit available
7432,Non-Fungible Token Roles,Final,2023-07-14,,/Users/mac/PhD/sim/ERCs/ERCS/erc-7432.md,only one commit available
7439,Prevent ticket touting,Final,2023-07-28,2024-01-09,/Users/mac/PhD/sim/ERCs/ERCS/erc-7439.md,
